GPS week,GPS second,solution status,latitude (deg),longitude (deg),height (m),approx-address
2235,518632,SOL_COMPUTED,51.55287176,-0.254981998,28.9941,"Book Centre Mansions, N Circular Rd., London NW10 0JD, UK"
2235,518633,SOL_COMPUTED,51.55275971,-0.255327545,29.3555,"392-390 A406, London NW10, UK"
2235,520534,SOL_COMPUTED,51.55285001,-0.255307037,33.3255,"392-390 A406, London NW10, UK"
2235,520535,SOL_COMPUTED,51.55291026,-0.255109715,33.7732,"Book Centre Mansions, N Circular Rd., London NW10 0JD, UK"
2235,522563,SOL_COMPUTED,51.59731696,-0.179295316,87.8628,"280 Long Ln, London N3 2RN, UK"
2235,522564,SOL_COMPUTED,51.59747747,-0.179054039,87.6711,"Long Lane North Circular Rd, London N2 8HS, UK"
2235,525178,SOL_COMPUTED,51.59179467,0.045064805,9.4413,"4 Southend Rd, Woodford, Woodford Green IG8 8HD, UK"
2235,525179,SOL_COMPUTED,51.59169625,0.045418099,12.0379,"214 Southend Rd, Woodford, Woodford Green IG8 8QH, UK"
2235,525180,SOL_COMPUTED,51.59159761,0.045722742,12.2171,"224 Southend Rd, Woodford, Woodford Green IG8 8QH, UK"
2235,525181,SOL_COMPUTED,51.59148549,0.046006248,10.7082,"6 Southend Rd, Woodford, Woodford Green IG8 8HD, UK"
2235,532366,SOL_COMPUTED,51.52540474,0.16926125,-4.3402,"49 New Rd, Rainham RM13 8DY, UK"
2235,532367,SOL_COMPUTED,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532368,INSUFFICIENT_OBS,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532369,INSUFFICIENT_OBS,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532370,INSUFFICIENT_OBS,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532371,INSUFFICIENT_OBS,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532372,INSUFFICIENT_OBS,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532373,INSUFFICIENT_OBS,51.52544296,0.168826332,-27.3778,"South Street (Stop ME), Rainham RM13 8SF, UK"
2235,532374,SOL_COMPUTED,51.52577415,0.16773336,3.1003,"2 South St, Rainham RM13 8PJ, UK"
2235,532375,SOL_COMPUTED,51.5258296,0.167510018,4.1236,"2 South St, Rainham RM13 8PJ, UK"
2235,532376,SOL_COMPUTED,51.52587924,0.167287719,4.4066,"South Street (Stop MF), Rainham RM13 8DJ, UK"
2235,532377,SOL_COMPUTED,51.52592314,0.16701758,-1.6488,"South Street (Stop MF), Rainham RM13 8DJ, UK"
2235,532928,SOL_COMPUTED,51.56544079,0.145024807,13.6818,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532929,SOL_COMPUTED,51.56542884,0.145068432,9.7585,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532930,SOL_COMPUTED,51.56544838,0.145111746,11.4475,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532931,SOL_COMPUTED,51.5654594,0.14516049,13.2752,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532932,SOL_COMPUTED,51.56545637,0.145206255,12.1929,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532933,SOL_COMPUTED,51.56546284,0.145247831,13.4055,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532938,SOL_COMPUTED,51.56546716,0.145438442,15.3989,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532939,SOL_COMPUTED,51.56544307,0.145477392,14.6492,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532940,SOL_COMPUTED,51.56540834,0.145513479,14.3302,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532941,SOL_COMPUTED,51.56537656,0.145539487,11.1172,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532966,SOL_COMPUTED,51.56556768,0.144809125,12.6095,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532967,SOL_COMPUTED,51.56561944,0.144881345,14.6436,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532968,SOL_COMPUTED,51.56563133,0.144976682,14.4111,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532969,SOL_COMPUTED,51.56565972,0.14508496,14.3261,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532970,SOL_COMPUTED,51.56567823,0.145176153,14.4007,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532971,SOL_COMPUTED,51.56570303,0.145265496,14.7125,"McDonald's, 149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532972,SOL_COMPUTED,51.56571051,0.145332016,15.0106,"McDonald's, 149 Whalebone Ln S, Dagenham RM8 1AT, UK"
2235,532973,SOL_COMPUTED,51.56573256,0.1453986,15.5404,"McDonald's, 149 Whalebone Ln S, Dagenham RM8 1AT, UK"
